timestamp,temperature_celsius,humidity_percent,pH,salinity_psu
2024-01-01 00:00:00,19.62,89.06,7.37,35.71
2024-01-01 01:00:00,19.25,84.26,7.39,35.25
2024-01-01 02:00:00,20.32,79.92,7.25,35.89
2024-01-01 03:00:00,22.67,76.28,7.29,35.26
2024-01-01 04:00:00,21.82,80.26,7.32,36.16
2024-01-01 05:00:00,22.71,77.02,7.27,35.19
2024-01-01 06:00:00,26.1,73.99,7.12,35.97
2024-01-01 07:00:00,26.27,73.74,7.19,35.31
2024-01-01 08:00:00,27.38,69.07,7.25,35.15
2024-01-01 09:00:00,28.66,69.11,7.32,35.79
2024-01-01 10:00:00,28.94,70.2,7.25,34.98
2024-01-01 11:00:00,29.74,68.92,7.19,35.56
2024-01-01 12:00:00,28.79,70.58,7.22,35.04
2024-01-01 13:00:00,29.44,68.63,7.3,34.97
2024-01-01 14:00:00,30.12,68.44,7.25,35.52
2024-01-01 15:00:00,27.22,67.43,7.34,36.55
2024-01-01 16:00:00,27.59,71.17,7.35,35.71
2024-01-01 17:00:00,26.13,73.15,7.2,35.24
2024-01-01 18:00:00,25.05,76.75,7.31,35.95
2024-01-01 19:00:00,23.96,77.07,7.4,36.26
2024-01-01 20:00:00,25.35,74.63,7.6,35.76
2024-01-01 21:00:00,21.1,82.34,7.44,35.51
2024-01-01 22:00:00,20.93,80.99,7.34,35.31
2024-01-01 23:00:00,19.02,83.45,7.58,35.7
2024-01-02 00:00:00,20.98,76.2,7.06,35.41
2024-01-02 01:00:00,20.58,88.97,7.58,36.44
2024-01-02 02:00:00,19.41,83.51,7.48,36.2
2024-01-02 03:00:00,22.03,73.38,7.66,36.07
2024-01-02 04:00:00,23.47,74.57,7.45,36.23
2024-01-02 05:00:00,24.25,76.91,7.15,35.1
2024-01-02 06:00:00,26.17,69.93,7.47,35.26
2024-01-02 07:00:00,27.17,74.47,7.62,35.98
2024-01-02 08:00:00,29.88,71.69,7.51,36.5
2024-01-02 09:00:00,29.69,63.2,7.41,35.44
2024-01-02 10:00:00,30.19,65.64,7.48,35.0
2024-01-02 11:00:00,31.31,65.45,7.4,36.39
2024-01-02 12:00:00,29.96,64.39,7.65,36.82
2024-01-02 13:00:00,28.54,69.77,7.58,36.69
2024-01-02 14:00:00,29.87,65.28,7.53,37.0
2024-01-02 15:00:00,28.54,69.8,7.81,35.71
2024-01-02 16:00:00,27.02,68.34,7.51,36.08
2024-01-02 17:00:00,26.4,72.08,7.39,36.5
2024-01-02 18:00:00,26.33,72.26,7.67,36.16
2024-01-02 19:00:00,22.96,75.4,7.6,36.58
2024-01-02 20:00:00,22.13,78.57,7.73,35.91
2024-01-02 21:00:00,22.94,82.94,7.33,35.82
2024-01-02 22:00:00,20.48,84.64,7.22,36.37
2024-01-02 23:00:00,21.73,76.57,7.63,36.09
2024-01-03 00:00:00,18.93,80.75,7.43,36.61
2024-01-03 01:00:00,20.67,81.54,7.82,36.03
2024-01-03 02:00:00,20.63,83.5,7.57,36.03
2024-01-03 03:00:00,20.85,78.32,7.3,36.5
2024-01-03 04:00:00,22.28,81.4,7.39,36.39
2024-01-03 05:00:00,21.78,81.71,7.43,36.89
2024-01-03 06:00:00,27.36,71.91,7.73,36.53
2024-01-03 07:00:00,28.38,71.05,7.19,36.79
2024-01-03 08:00:00,28.17,71.76,7.43,36.42
2024-01-03 09:00:00,30.32,72.13,7.54,36.58
2024-01-03 10:00:00,29.7,70.04,7.87,36.63
2024-01-03 11:00:00,32.15,56.83,7.78,37.59
2024-01-03 12:00:00,31.22,61.99,7.65,36.25
2024-01-03 13:00:00,30.06,66.25,7.57,37.0
2024-01-03 14:00:00,28.59,66.66,7.53,36.57
2024-01-03 15:00:00,29.44,67.1,7.61,37.83
2024-01-03 16:00:00,27.44,73.21,7.57,37.52
2024-01-03 17:00:00,26.31,80.15,7.3,36.69
2024-01-03 18:00:00,24.34,76.73,7.32,36.41
2024-01-03 19:00:00,24.49,77.73,7.34,36.73
2024-01-03 20:00:00,23.83,76.55,7.44,36.41
2024-01-03 21:00:00,21.86,79.39,7.44,37.32
2024-01-03 22:00:00,20.46,82.6,7.67,36.04
2024-01-03 23:00:00,19.66,83.89,7.53,36.86
2024-01-04 00:00:00,22.64,77.34,7.25,38.04
2024-01-04 01:00:00,19.93,81.74,7.83,36.87
2024-01-04 02:00:00,20.55,89.51,7.46,36.87
2024-01-04 03:00:00,22.73,77.25,7.37,36.31
2024-01-04 04:00:00,23.36,73.02,7.6,36.45
2024-01-04 05:00:00,24.2,77.81,7.54,36.44
2024-01-04 06:00:00,23.92,77.7,7.58,35.9
2024-01-04 07:00:00,26.7,74.29,7.27,36.7
2024-01-04 08:00:00,26.93,74.06,7.58,36.89
2024-01-04 09:00:00,28.4,66.92,7.32,36.34
2024-01-04 10:00:00,29.04,66.77,7.37,38.05
2024-01-04 11:00:00,27.74,69.67,7.48,36.5
2024-01-04 12:00:00,30.23,64.46,7.49,37.5
2024-01-04 13:00:00,31.62,63.51,7.38,37.22
2024-01-04 14:00:00,29.52,67.29,7.37,36.97
2024-01-04 15:00:00,30.86,63.87,7.45,37.21
2024-01-04 16:00:00,26.44,71.42,7.39,36.96
2024-01-04 17:00:00,26.85,73.65,7.46,37.66
2024-01-04 18:00:00,25.43,77.99,7.25,37.24
2024-01-04 19:00:00,24.84,75.31,7.46,37.12
2024-01-04 20:00:00,23.86,72.8,7.62,36.08
2024-01-04 21:00:00,22.1,83.67,7.36,37.23
2024-01-04 22:00:00,22.12,76.37,7.69,37.34
2024-01-04 23:00:00,18.93,82.33,7.29,37.1
2024-01-05 00:00:00,18.56,83.75,7.41,36.82
2024-01-05 01:00:00,21.13,82.29,7.42,38.06
2024-01-05 02:00:00,22.53,79.87,7.57,36.55
2024-01-05 03:00:00,22.19,76.17,7.14,36.88
2024-01-05 04:00:00,25.08,70.06,7.4,37.5
2024-01-05 05:00:00,23.08,73.6,7.18,36.74
2024-01-05 06:00:00,25.72,72.03,7.33,36.64
2024-01-05 07:00:00,25.77,71.11,7.21,37.15
2024-01-05 08:00:00,27.56,68.46,7.53,37.99
2024-01-05 09:00:00,28.71,74.32,7.26,36.89
2024-01-05 10:00:00,28.6,70.94,7.32,36.57
2024-01-05 11:00:00,31.37,64.79,7.39,38.0
2024-01-05 12:00:00,31.1,70.43,7.11,35.99
2024-01-05 13:00:00,30.91,64.68,7.21,36.8
2024-01-05 14:00:00,30.81,66.96,7.25,36.65
